Time,Seq,DateTime,DeltaTime,CumulTime,Id,CimetrixGEM300Simulation_ModuleID,CimetrixGEM300Simulation_ProcessJobID,CimetrixGEM300Simulation_RCID,CimetrixGEM300Simulation_SubstrateID,CimetrixGEM300Simulation_StepCount,CimetrixGEM300Simulation_StepID
2022-11-24T08:12:48.391-07:00,23,2022-11-24 08:12:48.391,6.066,75.265,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,10,Step-9
2022-11-24T08:12:48.418-07:00,24,2022-11-24 08:12:48.418,0.027,75.292,ModuleProcess:3:GeneralExecution-NotExecuting,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,,
2022-11-24T08:12:50.568-07:00,25,2022-11-24 08:12:50.568,2.150,77.442,ModuleProcess:2:NotExecuting-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,,
2022-11-24T08:12:50.613-07:00,26,2022-11-24 08:12:50.613,0.045,77.487,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,1,Step-0
2022-11-24T08:12:56.633-07:00,27,2022-11-24 08:12:56.633,6.020,83.507,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,1,Step-0
2022-11-24T08:12:56.654-07:00,28,2022-11-24 08:12:56.654,0.021,83.528,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,2,Step-1
2022-11-24T08:13:02.723-07:00,29,2022-11-24 08:13:02.723,6.069,89.597,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,2,Step-1
2022-11-24T08:13:02.745-07:00,30,2022-11-24 08:13:02.745,0.022,89.619,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,3,Step-2
2022-11-24T08:13:08.817-07:00,31,2022-11-24 08:13:08.817,6.072,95.691,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,3,Step-2
2022-11-24T08:13:08.838-07:00,32,2022-11-24 08:13:08.838,0.021,95.712,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,4,Step-3
