Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:02:11.914-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.21,
2022-11-10T00:02:12.480-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:16.787-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:02:17.352-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:18.074-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:18.643-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:19.244-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.22,
2022-11-10T00:02:19.815-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:24.157-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:02:24.717-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:25.411-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:25.972-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:26.575-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.23,
2022-11-10T00:02:27.149-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:31.520-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:02:32.076-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:32.731-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:33.291-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:33.842-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.24,
2022-11-10T00:02:34.406-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:38.703-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:02:39.286-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:39.998-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:40.549-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:41.149-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.25,
2022-11-10T00:02:41.701-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:46.029-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:02:46.585-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:47.277-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:47.831-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:53.368-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:02:53.940-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:00.518-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:03:01.071-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:08.614-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.01,
2022-11-10T00:03:09.158-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:14.733-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:15.287-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:15.844-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.02,
2022-11-10T00:03:16.404-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:21.991-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:22.560-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:23.126-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.03,
2022-11-10T00:03:23.692-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:27.792-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:03:28.350-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:29.303-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:29.859-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:30.422-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.04,
2022-11-10T00:03:30.981-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:35.022-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:03:35.572-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:36.590-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:03:37.149-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:37.713-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.05,
2022-11-10T00:03:38.277-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:03:42.408-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
