Time,Id,CimetrixGEM300Simulation/ModuleID,CimetrixGEM300Simulation/ProcessJobID,CimetrixGEM300Simulation/ProcessJobIDList,CimetrixGEM300Simulation/RCID,CimetrixGEM300Simulation/RecID,CimetrixGEM300Simulation/RecipeParameters,CimetrixGEM300Simulation/SubstrateID,CimetrixGEM300Simulation/SubstrateIDList
2022-11-11T14:33:31.389-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0005","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.19","Arr[0]"
2022-11-11T14:33:45.614-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0005","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.21","Arr[0]"
2022-11-11T14:33:59.842-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0005","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.23","Arr[0]"
2022-11-11T14:34:14.136-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0005","Arr[0]","RecipeCARRIER1","RecipeCARRIER1","Arr[0]","CARRIER1.25","Arr[0]"
2022-11-11T14:34:28.384-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.02","Arr[0]"
2022-11-11T14:34:42.729-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.04","Arr[0]"
2022-11-11T14:34:56.968-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.06","Arr[0]"
2022-11-11T14:35:11.138-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.08","Arr[0]"
2022-11-11T14:35:25.445-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.10","Arr[0]"
2022-11-11T14:35:39.824-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.12","Arr[0]"
2022-11-11T14:35:54.079-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.14","Arr[0]"
2022-11-11T14:36:08.249-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.16","Arr[0]"
2022-11-11T14:36:22.557-07:00,ModuleProcess:3:GeneralExecution-NotExecuting,"ProcessChamber1","LocalProcessJob0006","Arr[0]","RecipeCARRIER2","RecipeCARRIER2","Arr[0]","CARRIER2.18","Arr[0]"
