Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:12:31.196-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER1.23","CARRIER1.23"
2022-11-10T00:12:32.198-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.25"
2022-11-10T00:12:32.749-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER1.25"
2022-11-10T00:12:33.302-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.01"
2022-11-10T00:12:33.856-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.01"
2022-11-10T00:12:37.897-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.24"
2022-11-10T00:12:38.444-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER1.24","CARRIER1.24"
2022-11-10T00:12:39.419-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.01"
2022-11-10T00:12:39.978-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.01"
2022-11-10T00:12:40.537-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.02"
2022-11-10T00:12:41.084-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.02"
2022-11-10T00:12:45.075-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.25"
2022-11-10T00:12:45.631-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER1.25","CARRIER1.25"
2022-11-10T00:12:46.677-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.02"
2022-11-10T00:12:47.230-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.02"
2022-11-10T00:12:47.790-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.03"
2022-11-10T00:12:48.407-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.03"
2022-11-10T00:12:52.796-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.01"
2022-11-10T00:12:53.352-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.01","CARRIER2.01"
2022-11-10T00:12:54.011-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.03"
2022-11-10T00:12:54.575-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.03"
2022-11-10T00:12:55.144-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.04"
2022-11-10T00:12:55.708-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.04"
2022-11-10T00:13:00.201-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.02"
2022-11-10T00:13:00.761-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.02","CARRIER2.02"
2022-11-10T00:13:01.330-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.04"
2022-11-10T00:13:01.921-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.04"
2022-11-10T00:13:02.517-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.05"
2022-11-10T00:13:03.074-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.05"
